iter	Passed	Remaining
202	274	1077
203	275	1074
204	275	1070
205	276	1065
206	277	1061
207	277	1057
208	278	1053
209	278	1049
210	279	1044
211	279	1040
212	280	1036
213	280	1031
214	281	1027
215	282	1023
216	282	1019
217	283	1015
218	283	1011
219	284	1007
220	284	1003
221	285	998
222	285	994
223	286	991
224	286	987
225	287	983
226	287	979
227	288	975
228	288	971
229	289	970
230	290	967
231	291	964
232	291	960
233	292	957
234	292	953
235	293	950
236	294	946
237	294	943
238	295	940
239	295	936
240	296	932
241	296	929
242	297	926
243	297	922
244	298	919
245	298	915
246	299	912
247	299	909
248	300	905
249	300	902
250	301	899
251	302	896
252	302	893
253	303	890
254	303	886
255	304	884
256	305	882
257	305	879
258	306	876
259	306	873
260	307	870
261	307	867
262	308	864
263	308	861
264	309	858
265	309	855
266	310	852
267	310	849
268	311	846
269	312	843
270	312	840
271	313	837
272	313	834
273	314	832
274	314	829
275	315	826
276	315	823
277	316	820
278	316	818
279	317	815
280	317	812
281	318	810
282	318	807
283	319	804
284	320	803
285	320	800
286	321	797
287	321	795
288	322	792
289	322	790
290	323	788
291	324	786
292	325	784
293	325	782
294	326	779
295	326	777
296	327	774
297	327	772
298	328	769
299	328	767
300	329	765
301	329	762
302	330	760
303	330	757
304	331	755
305	331	752
306	332	750
307	332	748
308	333	745
309	334	743
310	335	742
311	335	740
312	336	737
313	336	735
314	337	733
315	337	731
316	338	729
317	339	727
318	339	724
319	340	722
320	340	720
321	341	718
322	341	716
323	342	713
324	342	711
325	343	709
326	343	707
327	344	705
328	344	703
329	345	701
330	345	699
331	346	697
332	346	694
333	347	692
334	348	690
335	348	688
336	349	687
337	349	685
338	350	683
339	350	681
340	351	679
341	352	677
342	352	675
343	353	673
344	353	671
345	354	669
346	354	667
347	355	665
348	355	663
349	356	661
350	356	659
351	357	657
352	357	655
353	358	653
354	358	651
355	359	649
356	359	647
357	360	645
358	360	643
359	361	641
360	361	640
361	362	638
362	362	636
363	363	634
364	363	632
365	364	631
366	365	629
367	365	628
368	366	626
369	366	624
370	367	622
371	367	621
372	368	619
373	368	617
374	369	615
375	369	614
376	370	612
377	370	610
378	371	608
379	372	607
380	372	605
381	373	603
382	373	601
383	374	600
384	374	598
385	375	596
386	375	595
387	376	593
388	376	591
389	377	590
390	377	588
391	378	587
392	379	586
393	380	585
394	381	583
395	381	582
396	382	580
397	383	579
398	383	577
399	384	576
400	385	575
401	385	573
402	386	572
403	386	570
404	387	569
405	388	567
406	388	566
407	389	565
408	390	563
409	390	562
410	391	560
411	391	559
412	392	557
413	393	556
414	393	555
415	394	554
416	395	552
417	396	551
418	396	550
419	397	548
420	397	547
421	398	546
422	399	544
423	400	543
424	400	542
425	401	540
426	401	539
427	402	537
428	403	536
429	403	535
430	404	533
431	404	532
432	405	531
433	406	529
434	406	528
435	407	526
436	407	525
437	408	524
438	409	523
439	410	522
440	411	521
441	411	519
442	412	518
443	413	517
444	413	516
445	414	515
446	415	513
447	416	512
448	417	511
449	417	510
450	418	509
451	418	507
452	419	506
453	420	505
454	420	504
455	421	502
456	422	501
457	422	500
458	423	499
459	424	498
460	425	497
461	426	496
462	426	494
463	427	493
464	428	492
465	428	491
466	429	490
467	430	488
468	430	487
469	431	486
470	432	485
471	432	484
472	433	483
473	434	481
474	434	480
475	435	479
476	436	478
477	436	477
478	437	476
479	438	474
480	439	474
481	440	473
482	440	471
483	441	470
484	442	469
485	442	468
486	443	467
487	443	465
488	444	464
489	445	463
490	445	461
491	446	460
492	446	459
493	447	458
494	447	456
495	448	455
496	448	454
497	449	452
498	449	451
499	450	450
500	450	449
501	451	447
502	451	446
503	452	445
504	452	443
505	453	442
506	454	441
507	455	440
508	455	439
509	456	438
510	456	437
511	457	435
512	457	434
513	458	433
514	459	432
515	459	431
516	460	429
517	460	428
518	461	427
519	461	426
520	462	424
521	462	423
522	463	422
523	463	421
524	464	420
525	465	419
526	465	417
527	466	416
528	466	415
529	467	414
530	467	413
531	468	412
532	469	411
533	470	410
534	470	409
535	471	408
536	472	407
537	472	405
538	473	404
539	473	403
540	474	402
541	474	401
542	475	399
543	475	398
544	476	397
545	476	396
546	477	395
547	477	394
548	478	393
549	479	391
550	479	390
551	480	389
552	480	388
553	481	387
554	481	386
555	482	385
556	482	384
557	483	383
558	484	382
559	485	381
560	485	380
561	486	379
562	486	377
563	487	376
564	488	375
565	488	374
566	489	373
567	489	372
568	490	371
569	491	370
570	491	369
571	492	368
572	492	367
573	493	366
574	493	365
575	494	363
576	495	362
577	495	361
578	496	360
579	496	359
580	497	358
581	497	357
582	498	356
583	498	355
584	499	354
585	500	353
586	500	352
587	501	351
588	501	350
589	502	349
590	502	348
591	503	347
592	504	345
593	504	344
594	505	343
595	505	342
596	506	341
597	506	340
598	507	339
599	507	338
600	508	337
601	508	336
602	509	335
603	509	334
604	510	333
605	510	332
606	511	331
607	511	330
608	512	328
609	512	327
610	513	326
611	513	325
612	514	325
613	515	324
614	516	323
615	516	322
616	517	321
617	517	320
618	518	319
619	518	318
620	519	317
621	520	316
622	520	315
623	521	314
624	522	313
625	522	312
626	523	311
627	523	310
628	524	309
629	524	308
630	525	307
631	526	306
632	526	305
633	527	304
634	527	303
635	528	302
636	528	301
637	529	300
638	530	299
639	531	298
640	531	297
641	532	296
642	532	295
643	533	294
644	534	293
645	534	292
646	535	291
647	535	290
648	536	290
649	536	289
650	537	288
651	538	287
652	538	286
653	539	285
654	539	284
655	540	283
656	540	282
657	541	281
658	542	280
659	542	279
660	543	278
661	543	277
662	544	276
663	545	276
664	546	275
665	546	274
666	547	273
667	547	272
668	548	271
669	549	270
670	549	269
671	550	268
672	550	267
673	551	266
674	551	265
675	552	264
676	552	263
677	553	262
678	554	261
679	554	260
680	555	260
681	555	259
682	556	258
683	556	257
684	557	256
685	558	255
686	558	254
687	559	253
688	560	252
689	561	252
690	561	251
691	562	250
692	562	249
693	563	248
694	563	247
695	564	246
696	565	245
697	565	244
698	566	243
699	566	242
700	567	241
701	567	241
702	568	240
703	568	239
704	569	238
705	569	237
706	570	236
707	570	235
708	571	234
709	571	233
710	572	232
711	573	231
712	573	230
713	574	229
714	574	229
715	575	228
716	576	227
717	576	226
718	577	225
719	577	224
720	578	223
721	579	222
722	579	222
723	580	221
724	581	220
725	581	219
726	582	218
727	582	217
728	583	216
729	583	215
730	584	215
731	584	214
732	585	213
733	585	212
734	586	211
735	586	210
736	587	209
737	588	208
738	588	207
739	589	207
740	589	206
741	590	205
742	591	204
743	591	203
744	592	202
745	592	201
746	593	200
747	594	200
748	594	199
749	595	198
750	595	197
751	596	196
752	596	195
753	597	194
754	597	194
755	598	193
756	599	192
757	599	191
758	600	190
759	600	189
760	601	188
761	601	187
762	602	187
763	602	186
764	603	185
765	604	184
766	604	183
767	605	182
768	606	182
769	606	181
770	607	180
771	607	179
772	608	178
773	609	177
774	609	177
775	610	176
776	610	175
777	611	174
778	611	173
779	612	172
780	613	171
781	613	171
782	614	170
783	614	169
784	615	168
785	615	167
786	616	166
787	616	165
788	617	165
789	617	164
790	618	163
791	619	162
792	620	161
793	620	161
794	621	160
795	621	159
796	622	158
797	623	157
798	623	156
799	624	156
800	624	155
801	625	154
802	625	153
803	626	152
804	626	151
805	627	151
806	627	150
807	628	149
808	628	148
809	629	147
810	629	146
811	630	145
812	631	145
813	631	144
814	632	143
815	632	142
816	633	141
817	633	140
818	634	140
819	635	139
820	635	138
821	636	137
822	636	136
823	637	136
824	638	135
825	638	134
826	639	133
827	639	132
828	640	132
829	640	131
830	641	130
831	641	129
832	642	128
833	642	127
834	643	127
835	643	126
836	644	125
837	644	124
838	645	123
839	646	123
840	646	122
841	647	121
842	647	120
843	648	119
844	649	119
845	649	118
846	650	117
847	651	116
848	651	115
849	652	115
850	652	114
851	653	113
852	654	112
853	654	111
854	655	111
855	655	110
856	656	109
857	656	108
858	657	107
859	657	107
860	658	106
861	658	105
862	659	104
863	659	103
864	660	103
865	661	102
866	661	101
867	662	100
868	662	99
869	663	99
870	663	98
871	664	97
872	665	96
873	665	96
874	666	95
875	667	94
876	667	93
877	668	92
878	669	92
879	669	91
880	670	90
881	671	89
882	671	89
883	672	88
884	672	87
885	673	86
886	673	85
887	674	85
888	675	84
889	675	83
890	676	82
891	676	81
892	677	81
893	677	80
894	678	79
895	679	78
896	679	78
897	680	77
898	681	76
899	681	75
900	682	74
901	682	74
902	683	73
903	684	72
904	684	71
905	685	71
906	686	70
907	686	69
908	687	68
909	687	68
910	688	67
911	688	66
912	689	65
913	689	64
914	690	64
915	690	63
916	691	62
917	691	61
918	692	61
919	692	60
920	693	59
921	694	58
922	695	57
923	695	57
924	696	56
925	696	55
926	697	54
927	697	54
928	698	53
929	698	52
930	699	51
931	700	51
932	700	50
933	701	49
934	701	48
935	702	48
936	702	47
937	703	46
938	703	45
939	704	44
940	704	44
941	705	43
942	705	42
943	706	41
944	707	41
945	707	40
946	708	39
947	708	38
948	709	38
949	709	37
950	710	36
951	711	35
952	711	35
953	712	34
954	712	33
955	713	32
956	713	32
957	714	31
958	714	30
959	715	29
960	716	29
961	716	28
962	717	27
963	717	26
964	718	26
965	718	25
966	719	24
967	719	23
968	720	23
969	720	22
970	721	21
971	721	20
972	722	20
973	722	19
974	723	18
975	723	17
976	724	17
977	725	16
978	726	15
979	726	14
980	727	14
981	728	13
982	728	12
983	729	11
984	729	11
985	730	10
986	730	9
987	731	8
988	732	8
989	732	7
990	733	6
991	733	5
992	734	5
993	734	4
994	735	3
995	735	2
996	736	2
997	736	1
998	737	0
999	738	0
